set,leaf_id,order,truth,S1,S5,S8
1,1,5,12,10,20,10
1,2,16,44,45,75,50
1,3,17,53,50,80,60
1,4,10,24,15,25,30
1,5,4,11,5,10,10
1,6,1,5,2,5,5
1,7,12,33,30,75,40
1,8,9,23,25,50,30
1,9,6,17,20,30,10
1,10,20,74,85,90,80
1,11,18,61,70,90,60
1,12,8,21,15,20,20
1,13,2,6,5,5,5
1,14,7,18,22,10,10
1,15,11,24,32,20,20
1,16,13,36,38,70,30
1,17,15,41,48,75,50
1,18,19,65,60,90,60
1,19,14,39,45,70,30
1,20,3,10,13,10,10
2,1,12,33,35,60,40
2,2,5,12,10,20,10
2,3,13,36,25,75,40
2,4,7,18,18,30,20
2,5,2,6,5,40,10
2,6,17,53,60,10,70
2,7,6,17,22,85,30
2,8,20,74,75,25,90
2,9,10,24,15,80,20
2,10,19,65,55,95,60
2,11,8,21,19,25,20
2,12,3,10,12,10,10
2,13,4,11,10,15,10
2,14,1,5,3,5,5
2,15,14,39,42,80,40
2,16,18,61,55,90,60
2,17,11,24,22,30,20
2,18,15,41,42,75,40
2,19,9,23,13,50,30
2,20,16,44,45,70,50
