set,leaf_id,order,truth,S1,S2,S4,S5,S6,S7,S8,S9,S10,S11
1,1,5,12,10,20,15,20,5,25,10,15,15,15
1,2,16,44,45,65,55,75,70,60,50,50,85,75
1,3,17,53,50,70,65,80,80,75,60,60,90,75
1,4,10,24,15,25,25,25,20,40,30,35,25,35
1,5,4,11,5,15,10,10,5,20,10,10,20,25
1,6,1,5,2,7,5,5,2,10,5,5,5,10
1,7,12,33,30,30,35,75,50,45,40,35,30,70
1,8,9,23,25,25,25,50,40,40,30,40,25,60
1,9,6,17,20,18,15,30,20,40,10,20,20,40
1,10,20,74,85,90,85,90,95,90,80,90,95,90
1,11,18,61,70,85,75,90,85,90,60,85,90,85
1,12,8,21,15,16,20,20,15,40,20,25,20,20
1,13,2,6,5,7,10,5,5,10,5,5,5,10
1,14,7,18,22,12,20,10,10,30,10,15,15,25
1,15,11,24,32,23,25,20,15,35,20,20,20,35
1,16,13,36,38,33,35,70,25,30,30,30,65,45
1,17,15,41,48,45,45,75,40,70,50,55,75,55
1,18,19,65,60,75,75,90,75,85,60,75,95,85
1,19,14,39,45,58,35,70,50,75,30,40,85,50
1,20,3,10,13,10,10,10,10,25,10,10,15,10
2,1,12,33,35,45,40,60,40,75,40,30,75,45
2,2,5,12,10,15,15,20,10,30,10,10,15,15
2,3,13,36,25,40,30,75,20,40,40,35,80,45
2,4,7,18,18,35,20,30,15,45,20,20,25,30
2,5,2,6,5,7,5,40,5,15,10,5,5,10
2,6,17,53,60,80,75,10,75,80,70,60,90,85
2,7,6,17,22,12,15,85,10,50,30,10,20,25
2,8,20,74,75,95,92,25,90,90,90,80,95,90
2,9,10,24,15,18,20,80,30,35,20,15,40,25
2,10,19,65,55,78,90,95,80,85,60,75,95,85
2,11,8,21,19,23,15,25,15,35,20,20,60,20
2,12,3,10,12,6,10,10,5,40,10,5,25,10
2,13,4,11,10,10,8,15,10,45,10,10,20,15
2,14,1,5,3,4,5,5,5,10,5,2,5,5
2,15,14,39,42,50,60,80,40,70,40,40,75,65
2,16,18,61,55,70,80,90,75,77,60,65,90,85
2,17,11,24,22,28,15,30,25,40,20,35,45,25
2,18,15,41,42,55,35,75,40,45,40,50,80,50
2,19,9,23,13,30,20,50,20,50,30,30,70,35
2,20,16,44,45,58,50,70,40,65,50,45,85,70
